species_id,plot_3,plot_21,plot_1,plot_2,plot_4,plot_5,plot_6,plot_7,plot_8,plot_9,plot_10,plot_11,plot_12,plot_13,plot_14,plot_15,plot_16,plot_17,plot_18,plot_19,plot_20,plot_22,plot_23,plot_24
BA,8,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM,41.234042553191486,41.476190476190474,42.65846994535519,42.625,41.90995260663507,42.56777493606138,42.14903846153846,43.18181818181818,43.4059829059829,43.10174418604651,42.375,41.401805869074494,42.42622950819672,43.4468085106383,44.75704989154013,43.13157894736842,41.62222222222222,41.31111111111111,41.726072607260726,43.56521739130435,41.73029045643153,43.324894514767934,44.35,41.13653136531365
DO,42.666666666666664,NA,50.13194444444444,50.3134328358209,46.85,50.41975308641975,48.96402877697842,52,49.16867469879518,48.984375,NA,45.13793103448276,49.23529411764706,49.44736842105263,46.775,NA,50.578947368421055,48.52147239263804,46.76923076923077,52,47.68518518518518,47,47,46.85454545454545
DS,127.64285714285714,NA,128.8909090909091,124.70796460176992,118.08366533864542,111.37704918032787,114.14563106796116,125.66666666666667,128.05445544554456,114.89219330855019,130,112.73770491803279,121.3125,118.31192660550458,110.32,110.33333333333333,135,127.94594594594595,116.56302521008404,NA,128.2,119.83898305084746,125.66666666666667,117.3125
NL,171.25806451612902,135.875,153.64864864864865,170.82222222222222,164.16666666666666,191.69230769230768,175.72727272727272,170.22222222222223,133.85714285714286,165,190,153.25714285714287,166.73809523809524,155.05555555555554,136.02,164.41666666666666,117,140.97222222222223,151.30232558139534,130.5,151.76404494382024,138.57142857142858,117.5,167.84285714285716
OL,32.1,28.642857142857142,35.51428571428571,34,32.96296296296296,32.55,31.848484848484848,NA,30.317073170731707,31.98,34.357142857142854,30.82051282051282,31.428571428571427,34.84444444444444,34.45454545454545,34.375,34.875,32.333333333333336,30.96969696969697,31.333333333333332,28.928571428571427,30.529411764705884,34,31
OT,24.054545454545455,24.075,23.685714285714287,24.862068965517242,26.454545454545453,23.636363636363637,23.515151515151516,22,24.08695652173913,23.076923076923077,19.2,23.67391304347826,23.315068493150687,23.482758620689655,23.48,23.571428571428573,21.9,24.6056338028169,23.76086956521739,23.363636363636363,25.62162162162162,21.733333333333334,22.0625,24.545454545454547
OX,22,NA,NA,22,NA,20,NA,NA,NA,NA,NA,NA,20,NA,18,NA,NA,NA,NA,24,NA,NA,NA,NA
PE,22.725,19.6,21.625,22.04597701149425,NA,21,21.6,22.774509803921568,19.428571428571427,22.1,20.666666666666668,21.625,21.228571428571428,21.88235294117647,21.473684210526315,19.442307692307693,21.689655172413794,21.060606060606062,21.72222222222222,20.659574468085108,21.25,21.25,22.62162162162162,22.096385542168676
PF,7.125,7.225806451612903,6.571428571428571,6.888888888888889,6.75,7.5,7.541666666666667,7,6.783783783783784,7.294117647058823,NA,6.842105263157895,7.333333333333333,7.4,6.2,7.254545454545455,8,6.5,6.714285714285714,7.044444444444444,7.875,7.107142857142857,6.25,6
PH,28,31,NA,NA,NA,29,NA,NA,NA,NA,NA,33,NA,NA,31,NA,NA,NA,NA,NA,NA,30.5,NA,NA
PM,20.096774193548388,23.625,23.7,23.941176470588236,NA,23.727272727272727,22.307692307692307,23.363636363636363,23,21,21.448275862068964,20.428571428571427,21.2,23.714285714285715,22.428571428571427,21.193548387096776,20.42105263157895,20,20.135135135135137,21.28395061728395,21.25,21,20.26086956521739,22.48148148148148
PP,17.145833333333332,13.6,14.26923076923077,16.4,14.75,19.842105263157894,16.813953488372093,NA,13.9,14.75,24,16.615384615384617,15.7,16.5,10,14.7,15,NA,14.2,17.916666666666668,15.3,15.818181818181818,17,NA
RF,14.75,17,NA,16,NA,14,12.125,13,NA,NA,13.2,14,14.333333333333334,12.666666666666666,NA,11,13,NA,11,11.5,12.7,NA,15.5,13
RM,10.276923076923078,9.886363636363637,10.928571428571429,10.56,10.375,10.76923076923077,10.5625,10.695238095238095,9,9.6,10.358024691358025,10.738095238095237,10.454545454545455,10.129032258064516,9.958333333333334,10.096774193548388,10.236559139784946,9.87037037037037,10.666666666666666,10.239669421487603,10.295454545454545,9.4,10.875,10.129032258064516
SF,NA,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.5,82,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA
SH,75.96153846153847,79.94736842105263,NA,88,NA,82.66666666666667,NA,NA,NA,NA,101,67.36363636363636,82,NA,NA,72,NA,69.13333333333334,NA,68.375,NA,NA,NA,56
SS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130,NA,NA,NA,NA,NA,57,NA,NA,NA
