record_id,date (mm/dd/yyyy),plot_id,species_id,sex,hindfoot_length,weight
16879,1/6/1990,1,DM,F,37,35
16880,1/6/1990,1,OL,M,21,28
16881,1/6/1990,6,PF,M,16,7
16882,1/6/1990,23,RM,F,17,9
16883,1/6/1990,12,RM,M,17,10
16884,1/6/1990,24,RM,M,17,9
16885,1/6/1990,12,SF,M,25,35
16886,1/6/1990,24,SH,F,30,73
16887,1/6/1990,12,SF,M,28,44
16888,1/6/1990,17,DO,M,36,55
16889,1/6/1990,21,SF,M,29,55
16890,1/6/1990,12,OT,M,22,23
16891,1/6/1990,12,DO,F,36,53
16892,1/6/1990,21,AB,,NA,9999
16893,1/6/1990,12,OT,F,21,24
16894,1/6/1990,1,OT,F,21,20
16895,1/6/1990,12,SF,F,27,75
16896,1/6/1990,12,RM,M,19',11
16897,1/6/1990,21,SF,F,29,46
16898,1/6/1990,23,RM,M,18,11
16899,1/6/1990,17,DO,M,36,47
16900,1/6/1990,19,RM,M,17,10
16901,1/6/1990,12,AH,,NA,9999
16902,1/6/1990,7,RM,F,17,9
16903,1/6/1990,1,OL,M,22,34
16904,1/6/1990,18,RM,F,17,13
16905,1/6/1990,21,RM,M,18,11
16906,1/6/1990,12,DO,M,36,57
16907,1/6/1990,20,RM,M,17,10
16908,1/6/1990,19,RM,F,17,12
16909,1/6/1990,24,RM,M,17,11
16910,1/6/1990,20,RM,M,16,7
16911,1/6/1990,18,PE,M,22,20
16912,1/6/1990,22,DM,M,37,52
16913,1/6/1990,6,RM,M,17,8
16914,1/6/1990,17,DM,M,NA,9999
16915,1/6/1990,19,PF,F,16,6
16916,1/6/1990,17,NL,F,32,165
16917,1/6/1990,6,RM,M,16,9
16918,1/6/1990,18,RM,M,17,10
16919,1/6/1990,7,RM,M,18,11
16920,1/6/1990,1,DO,F,36,56
16921,1/6/1990,12,DO,,NA,9999
16922,1/6/1990,17,RM,M,16,11
16923,1/6/1990,1,DO,M,37,55
16924,1/6/1990,6,PF,M,16,7
16925,1/6/1990,6,AB,,NA,9999
16926,1/6/1990,17,PE,M,21,24
16927,1/6/1990,12,OT,M,21,28
16928,1/6/1990,17,DO,M,36,49
16929,1/7/1990,3,SH,M,31,61
16930,1/7/1990,4,DM,M,37,44
16931,1/7/1990,5,RF,M,18,13
16932,1/7/1990,11,DO,M,38,41
16933,1/7/1990,9,DO,M,35,52
16934,1/7/1990,9,DO,M,37,50
16935,1/7/1990,4,DM,M,37,49
16936,1/7/1990,9,DO,F,35,49
16937,1/7/1990,15,PE,F,20,19
16938,1/7/1990,13,RF,F,18,14
16939,1/7/1990,8,DM,M,38,48
16940,1/7/1990,14,DO,M,40,52
16941,1/7/1990,3,OT,M,21,22
16942,1/7/1990,8,DM,F,36,38
16943,1/7/1990,4,DM,M,37,34
16944,1/7/1990,10,RM,M,18,11
16945,1/7/1990,8,DM,F,35,49
16946,1/7/1990,4,DM,F,37,42
16947,1/7/1990,14,DM,M,37,50
16948,1/7/1990,4,DM,M,37,34
16949,1/7/1990,9,DO,M,36,42
16950,1/7/1990,3,RM,M,18,10
16951,1/7/1990,5,BA,F,13,9
16952,1/7/1990,4,DM,M,37,50
16953,1/7/1990,11,DO,F,35,38
16954,1/7/1990,11,DM,M,36,46
16955,1/7/1990,2,PE,F,21,22
16956,1/7/1990,4,DM,F,38,43
16957,1/7/1990,8,DM,M,37,47
16958,1/7/1990,4,DS,,NA,9999
16959,1/7/1990,13,PP,M,21,14
16960,1/7/1990,2,DO,M,38,61
16961,1/7/1990,2,OT,F,20,23
16962,1/7/1990,4,DM,M,38,39
16963,1/7/1990,11,DM,F,37,40
