record_id,month,day,year,plot,species,sex,wgt
"1","7","16","1977","2","NA","M",
"2","7","16","1977","3","NA","M",
"3","7","16","1977","2","DM","F",
"4","7","16","1977","7","DM","M",
"5","7","16","1977","3","DM","M",
"6","7","16","1977","1","PF","M",
"7","7","16","1977","2","PE","F",
"8","7","16","1977","1","DM","M",
"9","7","16","1977","1","DM","F",
"10","7","16","1977","6","PF","F",
"11","7","16","1977","5","DS","F",
"12","7","16","1977","7","DM","M",
"13","7","16","1977","3","DM","M",
"14","7","16","1977","8","DM",,
"15","7","16","1977","6","DM","F",
"16","7","16","1977","4","DM","F",
"17","7","16","1977","3","DS","F",
"18","7","16","1977","2","PP","M",
"19","7","16","1977","4","PF",,
"20","7","17","1977","11","DS","F",
"21","7","17","1977","14","DM","F",
"22","7","17","1977","15","NA","F",
"23","7","17","1977","13","DM","M",
"24","7","17","1977","13","SH","M",
"25","7","17","1977","9","DM","M",
"26","7","17","1977","15","DM","M",
"27","7","17","1977","15","DM","M",
"28","7","17","1977","11","DM","M",
"29","7","17","1977","11","PP","M",
"30","7","17","1977","10","DS","F",
"31","7","17","1977","15","DM","F",
"32","7","17","1977","10","DM","F",
"33","7","17","1977","11","DM","F",
"34","7","17","1977","17","DM",,
"35","7","17","1977","13","DM","F",
"36","7","17","1977","16","OT","F",
"37","7","17","1977","11","DM","F",
"38","7","17","1977","17","NA","M",
"39","7","17","1977","11","DM","F",
"40","7","18","1977","20","DM","M",
"41","7","18","1977","23","DM","F",
"42","7","18","1977","18","DS","F",
"43","7","18","1977","21","DM","M",
"44","7","18","1977","18","DM","F",
"45","7","18","1977","22","DM","M",
"46","7","18","1977","19","DM","M",
"47","7","18","1977","18","DM","M",
"48","7","18","1977","20","DM","F",
"49","7","18","1977","12","PP","F",
"50","7","18","1977","18","DM","F",
"51","7","18","1977","21","DM","F",
"52","7","18","1977","12","DM","F",
"53","7","18","1977","22","DM","M",
"54","7","18","1977","18","DM","M",
"55","7","18","1977","23","DM","M",
"56","7","18","1977","20","DM","M",
"57","7","18","1977","22","DM",,
"58","7","18","1977","12","DS","M",
"59","7","18","1977","19","DM","M",
"60","7","18","1977","19","PE","M",
"61","7","18","1977","23","DM","M",
"62","7","18","1977","19","DM","M",
"63","8","19","1977","3","DM","M","40"
"64","8","19","1977","7","DM","M","48"
"65","8","19","1977","4","DM","F","29"
"66","8","19","1977","4","DM","F","46"
"67","8","19","1977","7","DM","M","36"
"68","8","19","1977","8","DO","F","52"
"69","8","19","1977","2","PF","M","8"
"70","8","19","1977","3","OX","F","22"
"71","8","19","1977","7","DM","F","35"
"72","8","19","1977","2","NA","M",
"73","8","19","1977","3","DS","F",
"74","8","19","1977","8","PF","M","7"
"75","8","19","1977","8","DM","F","22"
"76","8","19","1977","9","DS","F",
"77","8","19","1977","4","SS",,
"78","8","19","1977","1","PF","M","9"
"79","8","19","1977","7","DM","F","42"
"80","8","19","1977","1","DS","M",
"81","8","19","1977","4","PF","F","8"
"82","8","19","1977","4","DM","F","41"
"83","8","20","1977","6","DM","F","37"
"84","8","20","1977","19","DM","F","43"
"85","8","20","1977","23","DM","F","41"
"86","8","20","1977","18","DM","F","40"
"87","8","20","1977","5","PF","F","9"
"88","8","20","1977","18","DM","F","45"
"89","8","20","1977","12","PP","F","15"
"90","8","20","1977","18","DM","M","29"
"91","8","20","1977","11","DS","F",
"92","8","20","1977","6","DM","M","39"
"93","8","20","1977","18","DM",,"42"
"94","8","20","1977","18","DM","F","43"
"95","8","20","1977","23","DM","M","46"
"96","8","20","1977","12","DM","M","41"
"97","8","20","1977","18","DM","M","41"
"98","8","20","1977","5","DM","M","40"
"99","8","20","1977","11","DM","M","45"
"100","8","20","1977","5","DS","F",
"101","8","20","1977","5","DM","F","46"
"102","8","20","1977","23","DM","F","40"
"103","8","20","1977","18","DM","F","30"
"104","8","20","1977","11","DS","M",
"105","8","20","1977","19","DM","M","39"
"106","8","20","1977","12","NA",,
"107","8","20","1977","18","NA",,
"108","8","20","1977","11","PP","M",
"109","8","20","1977","6","DM","M","34"
"110","8","20","1977","10","DS",,
"111","8","20","1977","11","DM","F","42"
"112","8","20","1977","23","DM","M","42"
"113","8","20","1977","5","PF","F","8"
"114","8","21","1977","15","DM","F",
"115","8","21","1977","21","DM","M",
"116","8","21","1977","13","DM","F","31"
"117","8","21","1977","21","OX","F",
"118","8","21","1977","17","DM","M",
"119","8","21","1977","20","DM","M",
"120","8","21","1977","20","DM","M",
"121","8","21","1977","15","NA",,
"122","8","21","1977","22","DM","F",
"123","8","21","1977","17","DM","M",
"124","8","21","1977","14","DM","M",
"125","8","21","1977","22","DM","M",
"126","8","21","1977","20","DM","F",
"127","8","21","1977","14","DM","M",
"128","8","21","1977","15","DM","M",
"129","8","21","1977","14","DM","F",
"130","8","21","1977","16","DM","F",
"131","8","21","1977","22","DM","M",
"132","8","21","1977","22","DM","F",
"133","8","21","1977","15","DM","M",
"134","8","21","1977","17","DS","F",
"135","8","21","1977","15","DM","F",
"136","8","21","1977","13","PF","F",
"137","8","21","1977","20","DM","F",
"138","8","21","1977","22","DM","M",
"139","8","21","1977","14","PF","M",
"140","8","21","1977","20","DM","M",
"141","8","21","1977","16","DM","M",
"142","8","21","1977","17","DM","F",
"143","8","21","1977","15","DM","M",
"144","8","21","1977","15","DS","M",
"145","8","21","1977","13","DM","F",
"146","8","21","1977","13","DM","F","40"
"147","8","21","1977","13","DM","M",
"148","8","21","1977","14","DM","M",
"149","8","21","1977","20","DS","M",
"150","8","21","1977","21","DM","M",
"151","8","21","1977","13","DM","M",
"152","8","21","1977","14","DM","M",
"153","8","21","1977","16","DS","F",
"154","8","21","1977","20","DS","F",
"155","8","21","1977","20","DS",,
"156","8","21","1977","21","DM","M",
"157","9","11","1977","20","DM","M","37"
"158","9","11","1977","22","DM","M","48"
"159","9","11","1977","5","DS","M",
"160","9","11","1977","21","DM","M",
"161","9","11","1977","5","DM","M","42"
"162","9","11","1977","6","DM","F","45"
"163","9","11","1977","12","PP","F","16"
"164","9","11","1977","22","DM","F","36"
"165","9","11","1977","19","DS","F",
"166","9","11","1977","21","OX","M",
"167","9","11","1977","6","DM","M","42"
"168","9","11","1977","12","DM","M","44"
"169","9","11","1977","5","DM","M",
"170","9","11","1977","20","DM","F","41"
"171","9","11","1977","12","NA",,
"172","9","11","1977","22","PF","F","8"
"173","9","11","1977","12","DM","F","40"
"174","9","11","1977","12","DM","M","34"
"175","9","11","1977","19","DM","M","40"
"176","9","11","1977","12","DS","M",
"177","9","11","1977","5","OX","F","20"
